Year,Product,Rep,Type,North,South,East,West
2013,PSP,DiInSt,Rac,0.07,0.02,0,0.02
2013,PC,DiInSt,Rac,0,0.04,0,0.01
2013,360,NaBaGa,Act,0.14,0.03,0,0.01
,PS3,NaBaGa,Act,0.13,0.02,0,0.02
2018,WiiU,Ni,Sho,1.55,1.15,1.44,0.43
2008,XB,TaIn,Spo,0.04,0.01,0,0
2006,PTwo,TH,Rac,0.24,0.19,0,0.06
2004,PTwo,At,Rac,0.34,0.27,0,0.09
2005,XB,At,Rac,0.09,0.02,0,0
2011,DS,De,Sim,0.05,0,0,0
2018,PC,FoMu,Mis,0,0.02,0,0
2006,GC,Wa,Pla,0.01,0,0,0
2006,GBA,Wa,Pla,0.01,0,0,0
2005,GBA,TH,Pla,0.21,0.08,0,0.01
2015,3DS,Ni,Adv,0.12,0.02,0.06,0.01
2003,PS,EmIn,Puz,0.17,0.12,0,0.02
2011,PSP,Ac,Act,0.12,0.02,0,0.02
2011,360,Ac,Act,0.36,0.02,0,0.03
2011,PS3,Ac,Act,0.2,0.04,0,0.03
2011,Wii,Ac,Act,0.22,0.01,0,0.02
2011,PTwo,Ac,Act,0.1,0.08,0,0.03
2011,DS,Ac,Act,0.09,0,0,0.01
2011,PC,Ac,Act,0,0.02,0,0
2005,PTwo,Ac,Act,2.71,1.51,0.03,0.23
2005,XB,Ac,Act,1.07,0.28,0,0.05
2005,GBA,Ac,Act,0.92,0.35,0.01,0.05
2005,GC,Ac,Act,0.86,0.27,0.01,0.04
2013,PS3,Ac,Act,0.26,0.13,0,0.06
2013,360,Ac,Act,0.24,0.09,0,0.03
2013,Wii,Ac,Act,0.13,0.09,0,0.02
2013,DS,Ac,Act,0.17,0.01,0,0.01
2004,GBA,Ac,Act,0.43,0.16,0,0.01
2010,DS,Ac,Act,0.43,0,0,0.04
2010,PTwo,Ac,Act,0.31,0.01,0,0.05
2010,360,Ac,Act,0.26,0.02,0,0.02
2010,PSP,Ac,Act,0.16,0,0,0.01
2010,Wii,Ac,Act,0.13,0.01,0,0.01
2010,PC,Ac,Act,0.01,0,0,0
2014,360,Ac,Act,0.18,0.05,0,0.02
2014,PS3,Ac,Act,0.13,0.07,0,0.03
2014,DS,Ac,Act,0.12,0.01,0,0.01
2014,3DS,Ac,Act,0.08,0.03,0,0.01
2014,Wii,Ac,Act,0.06,0.02,0,0.01
2009,DS,Ac,Pla,0.12,0,0,0.01
2010,PTwo,Ac,Pla,0.74,0.03,0.01,0.12
2010,PS3,Ac,Pla,0.26,0.29,0.02,0.12
2010,360,Ac,Pla,0.49,0.04,0,0.04
2010,Wii,Ac,Pla,0.42,0.02,0,0.04
2010,DS,Ac,Pla,0.41,0.02,0,0.04
2010,PSP,Ac,Pla,0.01,0.23,0,0.06
2010,PC,Ac,Pla,0.02,0,0,0
2004,PS,Ac,Act,0.57,0.87,0.02,0.09
2007,PTwo,Ac,Act,1.75,1.2,0.02,0.43
2007,XB,Ac,Act,0.82,0.26,0,0.04
2007,GBA,Ac,Act,0.76,0.28,0,0.02
2007,GC,Ac,Act,0.65,0.17,0,0.02
2007,DS,Ac,Act,0.41,0.02,0.03,0.04
2008,PSP,Ac,Act,0.35,0.21,0,0.14
1984,2600,PaBr,Act,0.87,0.05,0,0.01
2003,PS,Ac,Act,1.7,1.25,0.02,0.16
2003,N64,Ac,Act,0.43,0.09,0,0.01
2001,PS,SoCoEn,Act,0.37,0.25,0,0.04
2006,PTwo,TH,Act,0.22,0.17,0,0.06
2006,GC,TH,Act,0.11,0.03,0,0
2006,XB,TH,Act,0.09,0.02,0,0
2010,DS,FiGa,Mis,0.54,0,0,0.04
2010,PSP,CrEn,Mis,0.24,0,0,0.02
2003,PS,EmIn,Spo,0.1,0.07,0,0.01
2012,Wii,BeSo,Rac,0.01,0.05,0,0.01
2011,Wii,WaBrInEn,Rac,0.36,0.02,0,0.03
2011,DS,WaBrInEn,Rac,0.29,0.05,0,0.03
2011,PTwo,WaBrInEn,Rac,0.1,0.08,0,0.03
1999,PS,ToCo,Rac,0.04,0.02,0,0
2001,PS,SoCoEn,Rac,0.11,0.08,0,0.01
2006,PTwo,AcEn,Rac,0.05,0.04,0,0.01
2006,XB,AcEn,Rac,0.04,0.01,0,0
2006,GC,AcEn,Rac,0.01,0,0,0
2013,Wii,Un,Rac,0.04,0.02,0,0.01
2012,Wii,DiInSt,Rol,0.16,0.02,0,0.02
2011,DS,DiInSt,Rol,0.37,0.11,0,0.04
2010,DS,DiInSt,Rol,0.67,0.03,0,0.06
2008,PSP,IdFa,Rol,0.03,0,0,0
2011,DS,No,Rol,0.08,0,0.01,0.01
2009,360,IdFa,Rol,0.08,0,0,0.01
2008,XB,HiIn,Sho,0.03,0.01,0,0
2015,PS3,TaIn,Sho,0.19,0.25,0.04,0.09
2015,360,TaIn,Sho,0.21,0.19,0,0.04
2015,PC,TaIn,Sho,0.11,0.09,0,0.03
2004,PS,Ta,Sho,0.49,0.33,0,0.06
2004,PS,TaIn,Sho,0.24,0.16,0,0.03
2005,PS,TaIn,Sho,1.54,0.46,0,0.08
2006,PTwo,ElAr,Act,0.22,0.17,0,0.06
2006,XB,ElAr,Act,0.13,0.04,0,0.01
2006,GC,ElAr,Act,0.05,0.01,0,0
2000,PS,SoCoEn,Act,0.14,0.09,0,0.02
2008,PTwo,Se,Act,0.11,0.09,0,0.03
2008,XB,Se,Act,0.1,0.03,0,0
2008,GC,Se,Act,0.05,0.01,0,0
2010,DS,Ac,Puz,0.02,0,0,0
2004,PTwo,SoMuEn,Mis,0,0,0.14,0
2000,N64,TaIn,Adv,0.12,0.03,0,0
2006,GC,Ta,Sho,0.01,0,0,0
1999,PS,AcEn,Spo,0.51,0.35,0,0.06
2008,DS,RiStGa,Sho,0.01,0,0,0
2012,DS,SqEn,Sho,0.17,0.01,0,0.01
2011,DS,SqEn,Sho,0.12,0.01,0.01,0.01
2011,PSP,SqEn,Sho,0.06,0.01,0.01,0.01
1997,SNES,Ta,Sho,0,0,0.46,0
2002,N64,Ac,Sho,0.13,0.03,0,0
2005,GBA,Ac,Sho,0.08,0.03,0,0
,2600,At,Sho,2.36,0.14,0,0.03
1998,PS,ElAr,Sho,0.04,0.03,0,0
2018,PSV,FuMe,Str,0,0.01,0,0
1998,PS,PaSo,Rol,0.02,0.02,0.12,0.01
2011,PTwo,BrEn,Pla,0.06,0.05,0,0.02
2011,360,BrEn,Pla,0.1,0,0,0.01
2011,Wii,BrEn,Pla,0.08,0,0,0.01
2011,DS,BrEn,Pla,0.05,0,0,0
2005,GBA,At,Mis,0.01,0,0,0
2006,PTwo,Ag,Mis,0.04,0.03,0,0.01
2012,DS,Ac,Act,0.14,0,0,0.01
2012,Wii,Ac,Act,0.12,0,0,0.01
2011,DS,SqEn,Puz,0.1,0.02,0,0.01
2002,PS,NaBaGa,Str,0,0,0.16,0.01
1999,PS,ElAr,Sim,0.65,0.44,0,0.08
2017,PS3,Ub,Rol,0.42,0.38,0,0.17
2017,360,Ub,Rol,0.57,0.3,0,0.08
2017,PC,Ub,Rol,0.07,0.1,0,0.02
2001,PS,AcEn,Mis,0.17,0.12,0,0.02
2002,N64,AcEn,Mis,0.19,0.05,0,0
2001,PS,AcEn,Rac,0.2,0.13,0,0.02
2003,N64,AcEn,Rac,0.16,0.04,0,0
2001,N64,AcEn,Sho,0.9,0.23,0,0.02
2001,PS,AcEn,Sho,0.39,0.27,0,0.05
2018,3DS,Ha,Sim,0,0,0.01,0
1999,SNES,ASEn,Mis,0,0,0.08,0
2001,SAT,Ch,Adv,0,0,0.09,0
2002,PS,Ch,Adv,0,0,0.16,0.01
2009,PTwo,In,Adv,0,0,0.01,0
2012,PSP,NaBaGa,Fig,0.12,0.2,0.07,0.12
2015,PS3,NaBaGa,Fig,0.35,0.24,0.07,0.1
2015,360,NaBaGa,Fig,0.39,0.14,0.02,0.04
2010,Wii,NaBaGa,Act,0,0,0.01,0
2010,Wii,NaBaGa,Act,0.16,0.01,0,0.01
2011,360,Ub,Fig,0.92,0.44,0.07,0.15
2011,PS3,Ub,Fig,0.72,0.41,0.14,0.2
2008,PTwo,NaBaGa,Fig,0.74,0.15,0.13,0.05
2006,PTwo,NaBaGa,Fig,1.06,0.62,0.13,0.25
2006,GC,NaBaGa,Fig,0.99,0.32,0.11,0.08
2006,XB,NaBaGa,Fig,0.78,0.18,0.03,0
2002,DC,NaBaGa,Fig,0,0,0.34,0
2017,PSV,SoCoEn,Act,0.01,0.12,0.12,0.04
2016,PSV,SoCoEn,Rol,0.18,0.09,0.22,0.06
2004,PTwo,EiIn,Act,0.27,0.21,0,0.07
2010,PTwo,TeKo,Rol,0.14,0.11,0,0.04
1999,PS,SoCoEn,Fig,0.61,0.41,0.46,0.1
2011,DS,NaBaGa,Act,0,0,0.05,0
2011,Wii,SqEn,Act,0,0,0.02,0
2012,PSP,NaBaGa,Act,0,0,0.03,0
2011,DS,EiIn,Puz,0.05,0.02,0,0.01
2015,PSP,IdFa,Act,0,0,0.02,0
2001,PS,Sq,Rol,0,0,0.13,0.01
1998,3DO,Im,Sim,0,0,0.02,0
1998,PS,Ri,Sim,0,0,0.04,0
1999,PS,HeRo,Sim,0,0,0.08,0.01
2010,PTwo,DaPo,Adv,0,0,0.01,0
2008,GBA,ZoDiPu,Mis,0.18,0.07,0,0
2016,PSV,RiStGa,Rol,0,0,0.03,0
2015,PS3,SoCoEn,Act,0.14,0.12,0,0.05
2013,PSP,CoHe,Adv,0,0,0.02,0
2013,PSP,KaSh,Adv,0,0,0.01,0
2014,DS,KaSh,Adv,0,0,0.02,0
2009,PSP,Se,Mis,0,0,0.07,0
2013,DS,DiInSt,Act,0.12,0.02,0,0.01
2017,3DS,imIn,Adv,0,0,0.01,0
2012,PS3,Se,Mis,1.34,0.62,0,0.31
2012,360,Se,Mis,0.85,0.46,0,0.13
2007,GBA,na,Mis,0.19,0.07,0,0
2011,Wii,Se,Pla,1.28,0.68,0.02,0.21
2011,PS3,Se,Pla,0.56,0.33,0.01,0.14
2011,360,Se,Pla,0.54,0.33,0,0.09
2011,PTwo,Se,Pla,0.37,0.04,0,0.36
1997,GEN,Se,Pla,1.02,0.47,0.2,0.07
1995,GG,Se,Pla,0,0,0.04,0
1995,GEN,Se,Pla,4.47,1.2,0.16,0.19
1994,GEN,Se,Pla,3.03,0.91,0.26,0.13
2009,PS3,Se,Pla,0.41,0.07,0.04,0.66
2009,360,Se,Pla,0.44,0.49,0,0.11
,PS3,na,Pla,0,0.48,0,0
2010,DS,Se,Pla,0.54,0.49,0.01,0.12
2008,DS,Se,Pla,1.22,1.57,0.06,0.29
2010,PSP,Se,Rac,0.44,0.69,0,0.39
2009,PSP,Se,Rac,0.73,0.42,0,0.28
2011,Wii,Se,Rac,0.5,0.32,0.02,0.1
2011,PTwo,Se,Rac,0.09,0.07,0,0.02
2009,GC,Se,Rac,0.71,0.18,0,0.03
2009,PTwo,Se,Rac,0.42,0.02,0,0.07
2009,XB,Se,Rac,0.1,0.03,0,0
2012,PC,Se,Mis,0,0.04,0,0.01
2007,PTwo,Se,Mis,1.54,1.14,0,0.22
2007,XB,Se,Mis,0.61,0.26,0,0.04
2005,GC,In,Mis,1.47,0.48,0.05,0.06
2016,3DS,Se,Pla,0.24,0.15,0.07,0.03
2016,WiiU,Se,Pla,0.24,0.12,0.01,0.03
2000,SAT,Se,Pla,0,0,0.12,0
2006,PTwo,Se,Pla,1.04,1.37,0.06,0.49
2006,GC,Se,Pla,1.05,0.44,0.06,0.04
2006,XB,Se,Pla,0.41,0.43,0.01,0.05
2014,PS3,Se,Pla,0.6,0.73,0.02,0.28
2014,360,Se,Pla,0.71,0.57,0,0.14
2014,3DS,Se,Pla,0.44,0.46,0.01,0.09
2014,PC,Se,Pla,0.02,0.07,0,0.02
2013,360,Se,Rac,0.74,0.26,0,0.09
2013,Wii,Se,Pla,0.96,0.61,0.01,0.16
2013,DS,Se,Pla,0.74,0.5,0.01,0.13
2013,DS,Se,Pla,0.99,0.8,0,0.18
2011,DS,Se,Rol,0.51,0.29,0.01,0.09
1996,SCD,Se,Pla,1,0.36,0.09,0.05
2017,3DS,Se,Act,0.17,0.09,0,0.03
2017,WiiU,Se,Act,0.21,0.09,0,0.03
2019,3DS,Se,Pla,0.03,0,0,0
2010,Wii,Se,Pla,1.24,1.2,0.04,0.3
2012,Wii,Se,Pla,0.69,0.35,0.01,0.11
2006,GC,Se,Pla,0.87,0.3,0.06,0.03
2004,GC,Se,Pla,1.7,0.59,0.21,0.07
2004,DC,Se,Pla,0,0,0.12,0
2001,DC,Se,Pla,1.26,0.61,0.46,0.08
2007,GBA,TH,Pla,0.74,0.52,0.08,0.06
2005,GBA,Se,Pla,0.93,0.59,0.21,0.07
2008,GBA,Se,Mis,0.1,0.04,0,0
2004,GBA,Se,Pla,1.19,0.71,0.22,0.13
2013,360,Se,Rac,0.37,0.35,0,0.07
2013,Wii,Se,Rac,0.65,0.71,0,0.15
2013,DS,Se,Rac,0.44,0.54,0,0.11
2013,PS3,Se,Rac,0.36,0.46,0,0.17
1997,GEN,Se,Pla,1.24,0.43,0.03,0.12
2015,360,Se,Rac,0.2,0.37,0,0.06
2015,PS3,Se,Rac,0.08,0.33,0.01,0.11
2015,WiiU,Se,Rac,0.2,0.27,0.02,0.05
2015,PSV,Se,Rac,0.12,0.25,0,0.11
2015,3DS,Se,Rac,0.12,0.15,0,0.02
2016,PC,Se,Rac,0,0.01,0,0
2019,PFour,InGa,Act,0.05,0,0,0.01
2019,One,InGa,Act,0.03,0,0,0
2019,PC,InGa,Act,0.02,0,0,0
2011,DS,Ni,Rol,0,0,0.11,0
2013,DS,Te,Mis,0.16,0,0,0.01
2010,DS,Te,Mis,0.39,0,0,0.03
2012,Wii,CrEn,Puz,0.11,0,0,0.01
2010,360,Ac,Sho,0.18,0.01,0,0.01
2010,PS3,Ac,Sho,0.12,0.02,0,0.01
2004,PTwo,Co,Sho,0.27,0.21,0,0.07
2006,XB,Ac,Sho,0.17,0.05,0,0.01
2013,DS,Ni,Rol,0.08,0.04,0.07,0.01
1992,GB,Ni,Sho,0.4,0.39,0.36,0.04
1989,2600,At,Sho,0.35,0.02,0,0
2015,PSP,ImEp,Rol,0,0,0.1,0
2013,PSP,IdFa,Adv,0,0,0.03,0
2009,PTwo,SoCoEn,Sho,1.74,0.02,0,0.28
2013,PSP,SoCoEn,Sho,0.17,0.13,0.06,0.08
2009,PSP,SoCoEn,Sho,0.81,0.11,0,0.13
2008,PSP,SoCoEn,Sho,1.03,0,0.01,0.08
2011,PS3,SoCoEn,Sho,0.94,0.17,0.02,0.13
2005,PTwo,SoCoEn,Sho,2.53,0.81,0.06,0.24
2010,PSP,SoCoEn,Sho,0.32,0.01,0,0.03
2006,PTwo,SoCoEn,Sho,2.22,0.51,0.06,0.15
2014,PS3,SoCoEn,Sho,0.66,0.12,0.04,0.08
2008,PTwo,SoCoEn,Sho,1.22,0.34,0.04,0.1
2016,PS3,Se,Spo,0,0,0.13,0
2016,PSV,Se,Spo,0,0,0.07,0
2003,DC,Se,Spo,0,0,0.18,0
2013,DS,Se,Spo,0,0,0.13,0
2005,PTwo,Se,Spo,0,0,0.55,0
1988,NES,Ni,Spo,0.18,0.23,1.53,0.02
2011,PC,EiIn,Adv,0,0.02,0,0
2003,PS,MiInEn,Spo,0.16,0.11,0,0.02
2002,N64,At,Spo,0.09,0.02,0,0
1999,N64,At,Spo,0.16,0.04,0,0
2010,PSP,Pr,Adv,0,0,0.02,0
2009,PSP,NaBaGa,Adv,0.04,0,0,0
2008,DS,ZoDiPu,Puz,0.09,0,0,0.01
2008,GBA,ZoDiPu,Puz,0.01,0,0,0
2004,GBA,DeSoIn,Puz,0.09,0.03,0,0
2002,PS,Ub,Rac,0.52,0.35,0,0.06
2009,PSP,Se,Fig,0.53,0.58,0,0.35
2009,PTwo,Se,Fig,0,0.02,0,0.12
2007,XB,IgEn,Fig,0.08,0.02,0,0
2009,DS,IgEn,Str,0.09,0,0,0.01
2011,PTwo,IgEn,Mis,0.09,0.07,0,0.02
2011,PSP,IgEn,Mis,0.13,0,0.01,0.01
2011,Wii,IgEn,Mis,0.06,0,0,0.01
2016,PS3,CiIn,Sho,0.05,0.19,0.03,0.07
2016,360,CiIn,Sho,0.06,0.13,0,0.02
2016,PC,CiIn,Sho,0.02,0.05,0,0.01
2013,360,CiIn,Sho,0.54,0.51,0,0.12
2013,PC,CiIn,Sho,0,0.13,0,0.03
2014,PS3,CiIn,Sho,0.26,0.36,0.04,0.14
2011,PC,CiIn,Sho,0,0.45,0,0.03
2015,PS3,FiGa,Sho,0.38,0.39,0.06,0.15
2015,360,FiGa,Sho,0.46,0.29,0.02,0.07
2016,WiiU,FiGa,Sho,0,0.02,0,0
2017,PFour,FiGa,Sho,0.22,0.33,0,0.13
2017,One,FiGa,Sho,0.19,0.11,0,0.03
2017,360,FiGa,Sho,0.16,0.14,0,0.03
2017,PS3,FiGa,Sho,0.1,0.15,0,0.06
2008,PTwo,Ub,Sho,0.1,0.07,0,0.02
2008,XB,Ub,Sho,0.07,0.02,0,0
2008,PC,MCEn,Sho,0,0.01,0,0
2013,Wii,ReEn,Sho,0.08,0.03,0,0.01
2005,XB,MiGaSt,Puz,0.07,0.02,0,0
1984,2600,Co,Act,0.55,0.03,0,0.01
2005,GC,TaIn,Mis,0.06,0.02,0,0
2003,PTwo,TaIn,Rac,0.77,0.6,0,0.2
2005,GBA,Re,Rac,0.01,0,0,0
2012,DS,ZoDiPu,Puz,0.01,0,0,0
2015,3DS,NaBaGa,Act,0,0,0.06,0
2005,XB,NaBaGa,Rac,0.03,0.01,0,0
2007,GBA,ZoDiPu,Rac,0.02,0.01,0,0
,GC,Un,Rac,0.06,0.01,0,0
2007,PTwo,SoCoEn,Spo,0.06,0.05,0,0.02
2005,PTwo,SoCoEn,Spo,0.08,0.07,0,0.02
2010,360,At,Spo,0.08,0.02,0,0.01
2010,PSP,NaBaGa,Spo,0.01,0.01,0.01,0.01
2006,PTwo,Me3D,Rac,0.06,0.04,0,0.01
2010,Wii,ElAr,Mis,0.53,0.76,0,0.16
2011,DS,UFIn,Mis,0.05,0,0,0
2012,DS,UFIn,Mis,0.01,0,0,0
2011,DS,UFIn,Mis,0.03,0,0,0
2010,DS,FiGa,Mis,0.24,0,0,0.02
2011,DS,FiGa,Mis,0.31,0,0,0.02
2011,DS,UFIn,Mis,0.01,0,0,0
2011,DS,FiGa,Mis,0.06,0,0,0
2010,DS,FiGa,Mis,0.12,0,0,0.01
2008,PSP,EiIn,Puz,0.07,0,0,0.01
2001,PS,ElAr,Pla,0.34,0.23,0,0.04
2016,PS3,SoCoEnEu,Pla,0.35,0.13,0,0.08
2016,PSV,SoCoEnEu,Pla,0.16,0.06,0,0.05
2005,PTwo,SoCoEn,Pla,1.03,0.14,0,0.04
2008,PTwo,SoCoEn,Pla,0.69,0.03,0,0.11
2007,PTwo,SoCoEn,Pla,0.88,0.69,0,0.23
2013,PS3,SoCoEn,Pla,0,0.05,0,0.02
2013,PSP,Do,Mis,0,0,0.01,0
,2600,At,Act,0.29,0.02,0,0
2012,DS,Le5,Puz,0,0,0.09,0
2012,DS,Le5,Puz,0,0,0.2,0
2006,GBA,SqEn,Adv,0,0,0.36,0.01
2014,3DS,SqEn,Rol,0,0,0.13,0
2010,DS,Ni,Act,0,0,0.01,0
2012,Wii,Ub,Mis,0.03,0,0,0
2015,PS3,SqEn,Act,0.31,0.5,0.05,0.19
2015,360,SqEn,Act,0.38,0.41,0.01,0.08
2015,PC,SqEn,Act,0.06,0.05,0,0.02
2017,PFour,SqEn,Act,0.16,0.2,0,0.07
2017,One,SqEn,Act,0.1,0.09,0,0.02
2001,PS,ElAr,Rac,0.9,0.61,0,0.11
2005,PTwo,ElAr,Rac,0.22,0.17,0,0.06
2013,Wii,SoGa,Spo,0.05,0,0,0
2001,SAT,KaSh,Rol,0,0,0.08,0
2001,PS,KaSh,Rol,0,0,0.08,0.01
1997,SNES,Ba,Rol,0,0,0.12,0
1998,PS,CrDy,Spo,0.04,0.03,0,0.01
1997,SNES,NaBaGa,Spo,0,0,0.27,0
1998,SNES,NaBaGa,Spo,0,0,0.05,0
2017,Wii,Ac,Act,0.42,0.54,0,0.08
2017,360,Ac,Act,0.54,0.31,0,0.08
2017,WiiU,Ac,Act,0.39,0.25,0,0.06
2017,PS3,Ac,Act,0.24,0.33,0,0.12
2017,PFour,Ac,Act,0.18,0.17,0,0.07
2017,One,Ac,Act,0.25,0.07,0,0.03
2017,3DS,Ac,Act,0.14,0.1,0,0.02
2018,WiiU,Ac,Act,0.25,0.18,0,0.04
2018,360,Ac,Act,0.24,0.18,0,0.04
2018,PS3,Ac,Act,0.15,0.18,0,0.06
2018,PFour,Ac,Act,0.17,0.08,0,0.05
2018,Wii,Ac,Act,0.05,0.19,0,0.02
2018,One,Ac,Act,0.16,0.05,0,0.02
2018,3DS,Ac,Act,0.05,0.06,0,0.01
2014,Wii,Ac,Act,1.4,1.14,0,0.31
2014,360,Ac,Act,0.53,0.35,0,0.1
2014,PS3,Ac,Act,0.39,0.4,0,0.16
2014,3DS,Ac,Act,0.32,0.2,0,0.05
2014,PC,Ac,Act,0.05,0.03,0,0.01
2016,Wii,Ac,Pla,1.32,0.83,0,0.2
2016,360,Ac,Pla,0.86,0.36,0,0.11
2016,PS3,Ac,Pla,0.43,0.44,0,0.2
2016,WiiU,Ac,Pla,0.4,0.15,0,0.06
2016,PFour,Ac,Pla,0.2,0.12,0,0.05
2016,One,Ac,Pla,0.22,0.06,0,0.02
2016,3DS,Ac,Pla,0.1,0.12,0,0.02
2015,Wii,Ac,Act,1.56,0.88,0,0.22
2015,360,Ac,Act,0.75,0.45,0,0.11
2015,PS3,Ac,Act,0.35,0.52,0,0.22
2015,WiiU,Ac,Act,0.23,0.12,0,0.04
2015,3DS,Ac,Act,0.12,0.01,0,0.01
2004,PS,Ba,Spo,0.04,0.03,0,0.01
2003,PTwo,SoCoEn,Sim,0.16,0.12,0,0.04
2004,PTwo,SoCoEn,Act,0.04,0.03,0,0.01
2008,GBA,CrEn,Act,0.02,0.01,0,0
2001,PS,DrIn,Pla,0.07,0.05,0,0.01
2005,GC,At,Rol,0.17,0.04,0,0.01
2003,DC,Se,Rol,0,0,0.09,0
2012,PS3,PQ,Rac,0.1,0,0,0.01
2012,Wii,VaGa,Rac,0.08,0,0,0.01
2012,360,VaGa,Rac,0.03,0,0,0
2014,PC,ExPu,Sim,0,0.05,0,0.01
2011,Wii,RT,Spo,0.04,0.04,0,0.01
1999,PS,ViIn,Pla,0.04,0.03,0,0.01
2011,Wii,ElAr,Spo,0.51,0.04,0,0.05
2011,DS,ElAr,Spo,0.14,0.02,0,0.01
2011,Wii,ZoDiPu,Spo,0.11,0,0,0.01
2013,360,ElAr,Spo,1.46,0.98,0,0.24
2013,PS3,ElAr,Spo,0.79,0.94,0,0.35
2012,360,ElAr,Spo,0.82,0.17,0.01,0.09
2012,PS3,ElAr,Spo,0.46,0.26,0.01,0.12
2010,360,ElAr,Spo,0.62,0.04,0,0.06
2010,PS3,ElAr,Spo,0.29,0.05,0,0.04
2011,DS,BrEn,Mis,0.17,0,0,0.01
2012,Wii,Ub,Mis,0.28,0.1,0,0.04
2006,PTwo,LSGa,Pla,0.03,0.02,0,0.01
2006,GBA,LSGa,Pla,0.02,0.01,0,0
2011,PS3,SoCoEn,Act,0,0.17,0.09,0.02
2006,PTwo,SoCoEn,Adv,0.09,0.07,0,0.02
2013,PC,KaMe,Str,0,0.03,0,0.01
2011,PC,Pi,Str,0,0.02,0,0.01
2013,PC,Ma,Sho,0,0.04,0,0.01
,360,Un,Sho,0.24,0.05,0,0.02
,PS3,Un,Sho,0.17,0.04,0.01,0.03
2017,PFour,SoCoEnEu,Mis,0,0.16,0,0.03
2017,PS3,SoCoEnEu,Mis,0,0.12,0,0.02
2012,PS3,SoCoEn,Mis,0,0.07,0,0.02
2014,PS3,SoCoEn,Mis,0,0.16,0,0.05
2011,PS3,SoCoEn,Mis,0,0.11,0,0.03
2011,PS3,SoCoEn,Mis,0.29,0.4,0,0.13
2012,PTwo,SoCoEn,Mis,0,0.06,0,0.39
2012,PS3,SoCoEn,Mis,0,0.3,0,0.03
2011,PTwo,SoCoEn,Mis,0,0.06,0,0.48
2011,PTwo,SoCoEn,Mis,0,0.04,0,0.57
2009,PTwo,SoCoEn,Mis,0,0.84,0,0.25
2010,PTwo,SoCoEn,Mis,0,0.05,0,0.6
2012,PTwo,SoCoEn,Mis,0.08,0.12,0,0.44
2012,PS3,SoCoEn,Mis,0.11,0.26,0,0.08
2011,PTwo,SoCoEn,Mis,0.09,0.07,0,0.02
2010,PTwo,SoCoEn,Mis,0,0.5,0,0.15
2012,PS3,SoCoEn,Mis,0,0.19,0,0.05
2010,PTwo,SoCoEn,Mis,0.04,1.08,0,0.32
2007,PTwo,SoCoEn,Mis,0,1.04,0,0.31
2012,PTwo,SoCoEn,Mis,0,0.06,0,0.38
2012,PS3,SoCoEn,Mis,0,0.16,0,0.02
2012,PS3,SoCoEn,Mis,0,0.04,0,0.02
2009,PTwo,SoCoEn,Mis,0.12,0.75,0,0.23
2010,PTwo,SoCoEn,Mis,0.07,0.05,0,0.02
2012,PS3,SoCoEn,Mis,0.11,0,0,0.01
2013,PS3,SoCoEn,Mis,0,0.08,0,0.02
2013,PS3,SoCoEn,Mis,0,0.02,0,0.01
2013,PS3,SoCoEn,Mis,0.09,0.32,0,0.12
2011,PTwo,SoCoEn,Mis,0.14,0.11,0,0.04
2012,PS3,SoCoEn,Mis,0,0.02,0,0.01
2013,PS3,SoCoEn,Mis,0,0.07,0,0.02
2009,PTwo,SoCoEn,Mis,0,0.68,0,0.2
2010,PTwo,SoCoEn,Mis,0.23,0.18,0,0.06
2011,PTwo,SoCoEn,Mis,0.23,0.04,0,1.09
2011,PS3,SoCoEn,Mis,0.27,0.51,0,0.17
2010,PTwo,SoCoEn,Mis,0.1,0.59,0,0.18
2008,PTwo,SoCoEn,Mis,0.27,0.02,0,1.02
2007,PTwo,SoCoEn,Mis,0,1.37,0,0.49
2010,PS3,SoCoEn,Mis,0.45,0.58,0,0.13
2014,Wii,CrEn,Mis,0.18,0,0,0.01
2015,WiiU,Ni,Mis,0.13,0.12,0,0.02
2012,Wii,Ni,Sho,0.2,0.14,0.06,0.04
2003,N64,Ni,Sho,0,0,0.13,0
2004,PS,ElAr,Fig,0.23,1.16,0,0.11
2009,DS,D3,Adv,0,0,0.03,0
2011,DS,D3,Adv,0,0,0.02,0
2011,DS,D3,Act,0,0,0.01,0
2010,DS,D3,Adv,0,0,0.04,0
2010,DS,D3,Mis,0,0,0.01,0
2012,PSP,D3,Act,0,0,0.02,0
2010,PTwo,D3,Str,0,0,0.01,0
2009,PTwo,D3,Act,0,0,0.02,0
2004,PS,D3,Sho,0.31,0.21,0,0.04
2001,PS,D3,Mis,0,0,0.99,0.07
1994,SNES,Im,Sim,0,0,0.16,0
2010,PC,ElAr,Sim,0,0.02,0,0
2010,DS,ElAr,Sim,0.33,0.03,0.21,0.03
2011,DS,ElAr,Sim,0,0,0.18,0
2011,Wii,ElAr,Sim,0.37,0.03,0.04,0.04
2011,DS,ElAr,Sim,0.3,0.03,0,0.03
2006,PC,ElAr,Sim,0,0.06,0,0.01
2006,PC,ElAr,Sim,0.01,0.24,0,0.05
1995,PC,Ma,Sim,1.2,0.84,0,0.1
1997,SAT,Se,Sim,0,0,0.28,0
1998,SNES,TH,Sim,0,0,0.49,0
1999,PS,Ma,Sim,0.68,0.46,0,0.08
2006,GBA,ZoDiPu,Sim,0.08,0.03,0,0
2016,PC,ElAr,Sim,0.48,0.77,0,0.19
